epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,1492.24,0.7444,0.71009,0.99192,0.79466,0.0071884,0.0071884,0.0071884
73,1511.64,0.73641,0.70995,0.9922,0.80901,0.0071488,0.0071488,0.0071488
74,1531.13,0.73444,0.70995,0.9922,0.79834,0.0071092,0.0071092,0.0071092
75,1550.39,0.71569,0.71036,0.99234,0.79175,0.0070696,0.0070696,0.0070696
76,1571.99,0.72303,0.70939,0.99206,0.79813,0.00703,0.00703,0.00703
77,1592.23,0.71248,0.71036,0.9922,0.81163,0.0069904,0.0069904,0.0069904
78,1614.31,0.70475,0.7112,0.9922,0.79224,0.0069508,0.0069508,0.0069508
79,1638.02,0.69747,0.71036,0.99206,0.80376,0.0069112,0.0069112,0.0069112
80,1660.46,0.69892,0.71092,0.9922,0.80025,0.0068716,0.0068716,0.0068716
81,1684.74,0.69177,0.7105,0.9922,0.78763,0.006832,0.006832,0.006832
82,1709.68,0.68983,0.71023,0.99234,0.80278,0.0067924,0.0067924,0.0067924
83,1731.43,0.68275,0.7105,0.9922,0.80948,0.0067528,0.0067528,0.0067528
84,1753.18,0.68773,0.71009,0.9922,0.79691,0.0067132,0.0067132,0.0067132
85,1774.56,0.67393,0.71036,0.9922,0.7967,0.0066736,0.0066736,0.0066736
86,1796.27,0.66624,0.71092,0.9922,0.79909,0.006634,0.006634,0.006634
87,1818.02,0.66546,0.71092,0.99234,0.79998,0.0065944,0.0065944,0.0065944
88,1839.73,0.66477,0.71036,0.99262,0.79455,0.0065548,0.0065548,0.0065548
89,1861.26,0.65938,0.7112,0.99276,0.79618,0.0065152,0.0065152,0.0065152
90,1883.34,0.65794,0.71078,0.99276,0.79986,0.0064756,0.0064756,0.0064756
91,1905.07,0.654,0.71134,0.99276,0.79419,0.006436,0.006436,0.006436
92,1926.99,0.64075,0.71232,0.99248,0.8022,0.0063964,0.0063964,0.0063964
93,1948.89,0.63535,0.71232,0.99248,0.79473,0.0063568,0.0063568,0.0063568
94,1970.68,0.63534,0.71134,0.99234,0.80543,0.0063172,0.0063172,0.0063172
95,1992.57,0.63063,0.7112,0.9922,0.80032,0.0062776,0.0062776,0.0062776
96,2014.42,0.6258,0.71301,0.99248,0.78809,0.006238,0.006238,0.006238
